City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
322,el nido,11.1858,119.3956,28.54,73,11,2.98,PH,2023-04-28 10:42:15
323,basco,20.4487,121.9702,25.99,88,30,6.35,PH,2023-04-28 10:42:17
324,rengali,21.6333,84.05,27.15,38,34,1.8,IN,2023-04-28 10:42:17
325,seven pagodas,12.6264,80.1722,31.03,77,78,4.67,IN,2023-04-28 10:42:17
326,vettavalam,12.1,79.25,27.81,74,96,2.06,IN,2023-04-28 10:42:18
327,hobyo,5.3505,48.5268,29.61,59,100,3.42,SO,2023-04-28 10:42:18
328,san pedro pochutla,15.7333,-96.4667,31.51,42,8,4.99,MX,2023-04-28 10:42:19
329,claveria,18.6074,121.0832,25.44,82,2,3.55,PH,2023-04-28 10:42:19
330,lagos de moreno,21.35,-101.9167,27.38,9,3,5.61,MX,2023-04-28 10:42:19
331,san bernardo,-33.6,-70.7167,20.8,55,100,2.62,CL,2023-04-28 10:42:20
332,banda aceh,5.5577,95.3222,26.95,80,94,1.54,ID,2023-04-28 10:42:20
333,bochum,51.4833,7.2167,15.27,73,89,1.79,DE,2023-04-28 10:42:20
334,la gi,10.6667,107.7833,27.21,80,72,6.88,VN,2023-04-28 10:42:21
335,puerto quijarro,-17.7833,-57.7667,33.69,42,35,1.44,BO,2023-04-28 10:42:21
336,maintirano,-18.0667,44.0167,26.81,75,5,3.67,MG,2023-04-28 10:42:22
337,envira,-7.3,-70.2167,27.89,84,84,0.42,BR,2023-04-28 10:42:22
338,aldama,22.9167,-98.0667,30.83,43,5,4.12,MX,2023-04-28 10:42:23
339,tibanbang,6.6315,126.1055,27.32,82,88,2.41,PH,2023-04-28 10:42:23
340,palikir - national government center,6.9248,158.1611,25.74,84,100,7.07,FM,2023-04-28 10:42:23
341,al jubayl,27.0112,49.6583,28.01,55,0,4.51,SA,2023-04-28 10:42:24
342,mongo,12.1844,18.693,36.24,17,64,2.52,TD,2023-04-28 10:42:24
343,jauja,-11.7758,-75.4966,15.59,49,96,2.2,PE,2023-04-28 10:42:24
344,touros,-5.1989,-35.4608,28.94,70,81,5.06,BR,2023-04-28 10:42:25
345,margaret river,-33.95,115.0667,11.67,79,47,1.38,AU,2023-04-28 10:42:25
346,paracuru,-3.41,-39.0306,28.39,82,69,2.74,BR,2023-04-28 10:42:25
347,birao,10.2849,22.7882,31.05,37,86,0.91,CF,2023-04-28 10:42:26
