City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
215,manda,-10.4667,34.5833,20.43,78,16,3.44,TZ,1682652958
216,rio san juan,19.6439,-70.0763,24.31,84,100,2.63,DO,1682652958
217,san luis de la loma,17.2706,-100.8939,25.72,72,99,2.6,MX,1682652958
218,ghanzi,-21.5667,21.7833,20.32,40,16,3.2,BW,1682652959
219,rio pardo,-29.9897,-52.3781,14.2,90,95,0.49,BR,1682652959
220,coquimbo,-29.9533,-71.3436,13.85,88,100,1.54,CL,1682652959
221,puerto san jose,13.9256,-90.8244,28.6,68,77,2.86,GT,1682652960
222,tindouf,27.6711,-8.1474,28.25,21,0,3.6,DZ,1682652960
223,boa viagem,-5.1275,-39.7322,20.27,93,95,1.05,BR,1682652960
224,beruwala,6.4788,79.9828,29.62,67,86,1.22,LK,1682652961
225,mundri,-6.9558,111.71,30.67,67,73,1.44,ID,1682652961
226,brisas de zicatela,15.8369,-97.0419,28.29,74,75,3.6,MX,1682652961
227,pitiquito,30.7,-112.0833,24.56,17,0,3.3,MX,1682652962
228,augusto correa,-1.0217,-46.635,23.0,97,100,0.55,BR,1682652962
229,fiambala,-27.6871,-67.6149,19.39,39,0,0.96,AR,1682652962
230,boqueirao,-7.5,-36.1333,23.75,95,99,0.99,BR,1682652963
231,souillac,-20.5167,57.5167,25.21,78,40,2.06,MU,1682652963
232,madera,37.1666,-119.8343,25.67,69,7,2.26,US,1682652877
233,xylofagou,34.9772,33.8492,14.71,89,2,1.91,CY,1682652964
234,northam,51.0333,-4.2167,11.88,98,100,6.0,GB,1682652964
235,le port,-20.9373,55.2919,23.0,85,10,1.07,RE,1682652964
236,richards bay,-28.783,32.0377,23.26,79,100,6.84,ZA,1682652965
237,nemuro,43.3236,145.575,6.48,78,88,1.11,JP,1682652965
238,aswan,24.0934,32.907,24.61,22,0,2.06,EG,1682652965
239,san pedro,14.35,121.0167,33.51,59,20,3.09,PH,1682652966
240,kisangani,0.5167,25.2,21.79,88,100,0.78,CD,1682652966
241,tanout,14.9709,8.8879,28.01,16,51,2.53,NE,1682652967
242,milton,34.1322,-84.3007,15.33,95,100,2.18,US,1682652914
243,cooper's town,26.8667,-77.5167,24.9,75,87,6.44,BS,1682652967
244,okakarara,-20.5833,17.4333,21.05,39,79,1.58,NA,1682652968
245,goth phulji,26.8825,67.6807,30.46,34,56,1.44,PK,1682652968
246,katima mulilo,-17.5,24.2667,14.92,60,26,1.74,NA,1682652968
247,plainview,40.7765,-73.4673,10.92,87,40,1.54,US,1682652969
248,carutapera,-1.195,-46.02,23.79,92,100,0.18,BR,1682652969
249,islamorada,24.9243,-80.6278,28.0,87,53,4.47,US,1682652969
250,zag,46.9441,99.165,3.49,25,84,3.24,MN,1682652969
251,sao pedro,-22.5486,-47.9139,17.74,94,10,0.62,BR,1682652970
252,sienna plantation,29.4861,-95.508,21.12,73,0,0.0,US,1682652970
253,jilib,0.4883,42.7854,24.98,89,98,2.27,SO,1682652970
254,monrovia,6.3005,-10.7969,24.87,79,11,2.71,LR,1682652971
255,umluj,25.0213,37.2685,25.25,47,0,1.35,SA,1682652971
256,luena,-11.7833,19.9167,14.1,72,86,2.57,AO,1682652971
257,benghazi,32.1167,20.0667,16.34,60,11,7.03,LY,1682652972
258,intendente alvear,-35.2338,-63.592,17.33,56,7,4.22,AR,1682652972
259,san ramon de la nueva oran,-23.1322,-64.326,20.24,88,29,0.72,AR,1682652812
260,siwa oasis,29.2041,25.5195,16.08,63,0,3.71,EG,1682652973
261,barah,13.7,30.3667,29.55,11,93,7.22,SD,1682652973
262,lospalos,-8.5186,127.0025,26.15,82,96,4.35,TL,1682652973
263,howard springs,-12.497,131.047,33.82,57,28,3.32,AU,1682652974
264,heroica matamoros,25.8833,-97.5,24.94,90,100,1.54,MX,1682652935
265,paso de la patria,-27.3168,-58.572,17.82,82,23,2.57,AR,1682652975
266,laranjeiras do sul,-25.4078,-52.4161,10.5,96,25,1.26,BR,1682652975
267,taulaga,-11.0553,-171.0883,28.67,72,69,5.98,AS,1682652975
268,tazacorte,28.629,-17.9293,20.64,42,0,2.24,ES,1682652975
269,dera bugti,29.0307,69.151,29.5,25,86,2.99,PK,1682652976
270,ceeldheer,3.8488,47.1806,27.67,76,100,1.51,SO,1682652976
271,east ballina,-28.8667,153.5833,24.33,59,1,3.0,AU,1682652977
272,papao,-17.75,-149.55,28.82,72,19,2.25,PF,1682652977
273,sarupathar,26.1984,93.8094,27.12,33,8,1.78,IN,1682652977
274,buala,-8.145,159.5921,29.65,69,23,2.01,SB,1682652978
275,san pedro de cajas,-11.2511,-75.8617,1.96,94,33,0.71,PE,1682652978
276,kununurra,-15.7667,128.7333,33.99,38,3,4.12,AU,1682652978
277,puerto leguizamo,-0.1934,-74.7819,22.23,98,95,0.52,CO,1682652979
278,tahoua,14.8888,5.2692,27.24,32,57,3.63,NE,1682652979
279,pangai,-19.8,-174.35,29.06,79,75,6.17,TO,1682652979
280,machina,13.1364,10.0492,26.2,47,62,3.99,NG,1682652980
281,shimoda,34.6667,138.95,21.2,58,96,4.91,JP,1682652980
282,aden,12.7794,45.0367,28.88,74,100,1.9,YE,1682652981
283,sao paulo de olivenca,-3.3783,-68.8725,22.91,98,83,0.81,BR,1682652981
284,n'zeto,-7.2312,12.8666,25.68,93,100,2.8,AO,1682652981
285,oistins,13.0667,-59.5333,26.05,89,20,4.12,BB,1682652981
286,acapulco de juarez,16.8634,-99.8901,26.9,74,20,2.06,MX,1682652982
287,sinabang,2.4803,96.3801,28.48,73,99,1.46,ID,1682652982
288,freetown,8.484,-13.2299,25.7,79,92,2.34,SL,1682652983
289,naberera,-4.2,36.9333,16.23,91,100,1.98,TZ,1682652983
290,rio claro,-22.4114,-47.5614,17.26,95,15,0.43,BR,1682652984
291,juruti,-2.1522,-56.0922,23.22,94,91,1.54,BR,1682652984
292,guarapari,-20.6667,-40.4975,24.94,94,14,3.34,BR,1682652797
293,baise city,23.8997,106.6133,29.95,60,94,1.93,CN,1682652985
294,mukalla,14.5425,49.1242,28.66,77,33,1.94,YE,1682652985
295,walvis bay,-22.9575,14.5053,14.49,67,6,4.85,NA,1682652985
296,warren,39.4334,-84.1666,13.47,83,100,2.57,US,1682652986
297,mariental,-24.6333,17.9667,20.66,35,2,1.81,NA,1682652986
298,deqen,29.9618,90.7188,8.35,33,88,2.91,CN,1682652986
299,cockburn town,21.4612,-71.1419,25.61,75,53,5.48,TC,1682652987
300,tomatlan,19.9333,-105.25,19.43,89,0,0.77,MX,1682652987
301,sabang,5.8933,95.3214,28.57,68,100,0.83,ID,1682652987
302,brady,31.1352,-99.3351,18.25,42,0,3.6,US,1682652988
303,hilo,19.7297,-155.09,26.27,82,100,4.12,US,1682652988
304,ardakan,32.31,54.0175,19.02,51,100,2.68,IR,1682652988
305,sung noen,14.8992,101.8207,34.25,100,8,1.55,TH,1682652989
306,lata,40.1629,-8.3327,14.95,80,100,0.97,PT,1682652989
307,arraial do cabo,-22.9661,-42.0278,20.98,94,20,1.03,BR,1682652732
308,boda,4.3189,17.4695,20.86,89,100,1.15,CF,1682652990
309,jayapura,-2.5333,140.7,34.66,80,80,1.7,ID,1682652991
310,cururupu,-1.8283,-44.8683,22.4,98,95,0.31,BR,1682652991
311,galle,6.0367,80.217,29.33,71,81,4.35,LK,1682652991
312,panyam,9.4167,9.2167,21.21,70,100,2.74,NG,1682652992
313,weno,7.4515,151.8468,25.97,100,100,2.06,FM,1682652992
314,lala musa,32.7024,73.96,24.86,26,92,4.42,PK,1682652993
315,akankpa,5.1264,8.1898,22.43,96,100,1.04,NG,1682652993
316,kualakapuas,-3.0091,114.3876,34.17,53,41,1.12,ID,1682652994
317,mandera,3.9366,41.867,26.08,75,100,6.51,KE,1682652777
318,sarangani,5.4033,125.4636,28.67,76,86,8.64,PH,1682652995
319,meghraj,23.5,73.5,30.52,32,1,1.3,IN,1682652995
320,morehead city,34.7229,-76.726,21.0,88,75,6.26,US,1682652742
321,al faw,29.9776,48.4741,24.0,27,0,1.16,IQ,1682652996
322,doka,13.5167,35.7667,27.28,52,76,2.26,SD,1682652996
323,tsiombe,-25.3,45.4833,21.16,80,5,4.2,MG,1682652997
324,bassar,9.25,0.7833,22.83,83,100,2.12,TG,1682652997
325,senador jose porfirio,-2.5908,-51.9542,22.96,96,100,1.18,BR,1682652997
326,puerto penasco,31.3167,-113.5333,22.73,72,0,1.34,MX,1682652998
327,mejit,10.2753,170.8646,27.47,79,31,7.82,MH,1682652998
328,sorong,-0.8833,131.25,28.75,72,76,3.31,ID,1682652999
329,shahrak,34.1074,64.3052,14.96,22,40,0.83,AF,1682652999
330,bridgetown,13.1,-59.6167,26.27,89,20,4.12,BB,1682652865
331,corpus christi,27.8006,-97.3964,23.32,94,20,2.06,US,1682652969
332,kulhudhuffushi,6.6221,73.07,28.59,74,100,2.07,MV,1682653001
333,deniliquin,-35.5333,144.9667,22.9,39,96,4.9,AU,1682653001
334,port macquarie,-31.4333,152.9167,24.38,58,5,5.8,AU,1682653001
335,bignona,12.8103,-16.2264,22.02,56,21,3.9,SN,1682653002
336,isangel,-19.55,169.2667,26.08,73,45,5.26,VU,1682653002
337,ruwa,-17.8972,31.2371,13.4,88,12,1.19,ZW,1682653003
338,dhuusamarreeb,5.535,46.3861,23.88,84,100,3.82,SO,1682653003
339,piacabucu,-10.4056,-36.4344,24.75,89,13,2.49,BR,1682653003
340,nuku'alofa,-21.1333,-175.2,27.19,89,75,7.72,TO,1682653004
341,brokopondo,4.75,-55.1667,24.46,90,100,2.74,SR,1682653004
342,guerrero negro,27.9769,-114.0611,14.96,89,7,5.81,MX,1682653004
343,la villa del rosario,10.3258,-72.3134,25.34,85,48,3.51,VE,1682653005
344,san patricio,28.017,-97.5169,23.24,80,0,1.98,US,1682653005
345,pyapon,16.2833,95.6833,36.31,30,0,2.51,MM,1682653005
346,kismayo,-0.3582,42.5454,27.06,80,99,3.99,SO,1682653006
347,camiri,-20.05,-63.5167,16.09,93,1,1.13,BO,1682652962
348,caluula,11.9661,50.7569,29.31,59,100,2.12,SO,1682653006
349,aitape,-3.1374,142.3475,29.53,72,99,2.79,PG,1682653007
350,kish,26.5578,54.0194,23.15,88,0,2.06,IR,1682653007
351,bobo-dioulasso,11.1771,-4.2979,27.25,57,0,4.12,BF,1682653007
352,aguada de pasajeros,22.385,-80.8508,24.6,82,56,0.44,CU,1682653007
353,guiyang,26.5833,106.7167,18.27,82,100,2.0,CN,1682653008
354,olinda,-8.0089,-34.8553,25.85,83,40,2.06,BR,1682653008
355,tarakan,3.3,117.6333,31.72,66,75,3.6,ID,1682653008
356,khorixas,-20.3667,14.9667,24.0,41,74,1.55,NA,1682653008
357,taltal,-25.4,-70.4833,17.58,81,4,0.65,CL,1682653009
358,dhankuta,26.9833,87.3333,26.31,22,51,2.14,NP,1682653009
359,nebbi,2.4783,31.0889,18.78,94,100,0.85,UG,1682653009
360,la passe,45.5549,-0.8967,13.13,91,100,1.02,FR,1682653009
361,al bawiti,28.3492,28.8659,15.88,63,0,3.11,EG,1682653010
362,fortaleza,-3.7227,-38.5247,24.07,94,0,1.03,BR,1682652900
363,kaga bandoro,6.9896,19.1874,23.99,69,83,2.86,CF,1682653010
364,mokopane,-24.1944,29.0097,17.44,66,3,1.46,ZA,1682653010
365,tual,-5.6667,132.75,28.24,77,98,7.0,ID,1682653011
366,sawakin,19.1059,37.3321,26.97,47,81,2.72,SD,1682653011
367,el tigre,8.8875,-64.2454,25.62,74,39,4.69,VE,1682653011
368,petropavlovsk-kamchatsky,53.0452,158.6483,3.33,41,75,3.0,RU,1682652815
369,taoudenni,22.6783,-3.9836,29.4,8,0,6.08,ML,1682653012
370,ritchie,-29.038,24.6028,9.56,30,6,0.67,ZA,1682653012
371,totness,5.8833,-56.3167,25.28,90,100,4.25,SR,1682653012
372,cruzeiro do sul,-29.5128,-51.9853,16.95,93,78,1.25,BR,1682653012
373,tobati,-25.25,-57.0667,15.9,88,6,1.67,PY,1682653013
374,shindand,33.3029,62.1474,25.11,14,4,0.65,AF,1682653013
375,mangai,-4.05,19.5333,20.84,99,98,0.48,CD,1682653013
376,broken hill,-31.95,141.4333,21.73,28,63,5.79,AU,1682653013
377,antsiranana,-12.2787,49.2917,25.42,69,20,6.17,MG,1682652867
378,ma'rib,15.4591,45.3253,26.9,37,37,1.98,YE,1682653014
379,calvinia,-31.4707,19.776,8.69,94,0,0.89,ZA,1682653014
380,carlsbad,33.1581,-117.3506,17.7,90,100,1.54,US,1682653014
381,nova vicosa,-17.8919,-39.3719,24.17,87,0,4.69,BR,1682653015
382,errachidia,31.9275,-4.4285,24.03,13,0,3.09,MA,1682653015
383,francistown,-21.17,27.5079,17.76,56,9,2.1,BW,1682653015
384,pasni,25.2631,63.471,26.31,74,45,2.6,PK,1682653016
385,comitancillo,15.0833,-91.7167,14.35,79,78,0.29,GT,1682653016
386,la asuncion,11.0333,-63.8628,19.85,100,53,6.17,VE,1682652894
387,sanga-sanga,5.0725,119.7853,28.47,68,100,1.3,PH,1682653017
388,kerikeri,-35.2268,173.9474,18.28,82,100,1.34,NZ,1682653017
389,belmonte,-15.8631,-38.8828,24.03,83,0,3.49,BR,1682653017
390,nungua,5.6011,-0.0771,25.16,75,100,0.93,GH,1682653018
391,nambucca heads,-30.65,153.0,25.09,63,15,5.69,AU,1682653018
392,auki,-8.7676,160.7034,29.31,71,23,1.45,SB,1682653018
393,gebeit,21.0667,36.3167,23.36,16,2,1.61,SD,1682653018
394,kabare,-2.4683,28.8242,16.17,97,98,0.62,CD,1682653019
395,nouadhibou,20.931,-17.0347,18.99,88,0,7.2,MR,1682653019
396,sao jose da coroa grande,-8.8978,-35.1478,25.31,86,69,0.83,BR,1682653019
397,pangoa,-12.1167,-73.0,19.58,99,92,1.0,PE,1682653020
398,abu zabad,12.35,29.25,27.85,34,100,2.71,SD,1682653020
