Region,SubRegion,Country/Territory,Type of offence,Year,Drugs,Total,Males,Females,Unknown/Other/ Third/Intersex,Adults,Juveniles,Specify year
Africa,North Africa,Algeria,Offences related to drug trafficking,2017,Ecstasy-type substances,225,219,6,,,,
Africa,North Africa,Algeria,Offences related to drug use and/or drug possession,2016,All illicit drugs,32276,32056,220,,,,
Africa,North Africa,Algeria,Offences related to drug use and/or drug possession,2016,Cannabis-type,22926,22785,141,,,,
Africa,North Africa,Algeria,Offences related to drug use and/or drug possession,2016,Opioids,15,15,0,,,,
Africa,North Africa,Algeria,Offences related to drug use and/or drug possession,2016,Cocaine-type,364,362,2,,,,
Africa,North Africa,Algeria,Offences related to drug use and/or drug possession,2016,ATS,8616,8539,77,,,,
Africa,North Africa,Algeria,Offences related to drug use and/or drug possession,2016,Other substances not under int. control,354,354,0,,,,
Africa,North Africa,Algeria,Offences related to drug trafficking,2016,All illicit drugs,9217,9131,86,,,,
Africa,North Africa,Algeria,Offences related to drug trafficking,2016,Cannabis-type,6493,6434,59,,,,
Africa,North Africa,Algeria,Offences related to drug trafficking,2016,Opioids,5,5,0,,,,
Africa,North Africa,Algeria,Offences related to drug trafficking,2016,Cocaine-type,184,184,0,,,,
Africa,North Africa,Algeria,Offences related to drug trafficking,2016,ATS,2431,2404,27,,,,
Africa,North Africa,Algeria,Offences related to drug trafficking,2016,Other substances not under int. control,104,104,0,,,,
Africa,North Africa,Algeria,Offences related to drug use and/or drug possession,2019,All illicit drugs,39409,38922,487,,,,
Africa,North Africa,Algeria,Offences related to drug use and/or drug possession,2019,Cannabis-type,24699,24430,269,,,,
Africa,North Africa,Algeria,Offences related to drug use and/or drug possession,2019,Opioids,30,30,0,,,,
Africa,North Africa,Algeria,Offences related to drug use and/or drug possession,2019,Cocaine-type,211,201,10,,,,
Africa,North Africa,Algeria,Offences related to drug use and/or drug possession,2019,ATS,14194,13987,207,,,,
Africa,North Africa,Algeria,Offences related to drug use and/or drug possession,2019,Other substances not under int. control,8,8,0,,,,
Africa,North Africa,Algeria,Offences related to drug trafficking,2019,All illicit drugs,9753,9589,164,,,,
Africa,North Africa,Algeria,Offences related to drug trafficking,2019,Cannabis-type,6200,6108,92,,,,
Africa,North Africa,Algeria,Offences related to drug trafficking,2019,Opioids,12,12,0,,,,
Africa,North Africa,Algeria,Offences related to drug trafficking,2019,Cocaine-type,106,102,4,,,,
Africa,North Africa,Algeria,Offences related to drug trafficking,2019,ATS,3355,3288,67,,,,
Africa,Southern Africa,Angola,Offences related to drug use and/or drug possession,2017,Cannabis-type,907,854,136,,,,
Africa,Southern Africa,Angola,Offences related to drug use and/or drug possession,2017,Cocaine-type,87,72,15,,,,
Africa,West and Central Africa,Benin,Offences related to drug trafficking,2016,All illicit drugs,86,,,,,,
Africa,West and Central Africa,Benin,Offences related to drug trafficking,2017,All illicit drugs,95,,,,,,
Africa,West and Central Africa,Central African Republic,Offences related to drug use and/or drug possession,2017,Cannabis-type,78,68,10,,,,
Africa,West and Central Africa,Central African Republic,Offences related to drug use and/or drug possession,2017,Opioids,6,6,0,,,,
Africa,West and Central Africa,Central African Republic,Offences related to drug use and/or drug possession,2017,Cocaine-type,5,4,1,,,,
Africa,West and Central Africa,Central African Republic,Offences related to drug use and/or drug possession,2017,Other substances not under int. control,45,34,11,,,,
Africa,West and Central Africa,Central African Republic,Offences related to drug use and/or drug possession,2017,Pharmaceutical opioids,33,28,5,,,,
Africa,West and Central Africa,Central African Republic,Offences related to drug trafficking,2017,Cannabis-type,12,10,2,,,,
Africa,West and Central Africa,Central African Republic,Offences related to drug trafficking,2017,Cocaine-type,3,2,1,,,,
Africa,West and Central Africa,Central African Republic,Offences related to drug trafficking,2017,Other substances not under int. control,15,13,2,,,,
Africa,West and Central Africa,Central African Republic,Offences related to drug trafficking,2017,Pharmaceutical opioids,19,15,4,,,,
Africa,West and Central Africa,Côte d'Ivoire,Offences related to drug use and/or drug possession,2018,All illicit drugs,1978,,,,,,
